AUBANK,AXISBANK,BANKBARODA,CANBK,FEDERALBNK,HDFCBANK,ICICIBANK,IDFCFIRSTB,INDUSINDBK,KOTAKBANK,PNB,SBIN
565.45,1017.05,198.1,81.25,177.81,1739.8,1210.5,58.39,978.95,1905.55,87.8,690.15
565.0,1014.05,198.02,81.09,178.54,1738.3,1213.1,58.35,974.1,1900.65,88.0,689.75
565.85,1014.5,198.13,81.39,178.9,1742.35,1212.0,58.4,970.55,1899.5,88.54,690.85
563.45,1011.95,198.0,81.36,178.27,1740.4,1212.85,58.38,972.5,1901.3,88.42,689.75
562.7,1011.55,198.25,81.55,178.35,1738.2,1211.35,58.39,976.0,1899.5,88.45,690.9
563.15,1011.55,198.12,81.21,178.07,1740.65,1210.85,58.3,974.45,1898.3,88.35,690.7
561.0,1009.3,197.3,81.01,177.53,1737.25,1210.95,58.05,972.35,1897.85,87.99,689.7
561.3,1010.1,196.79,80.68,177.09,1736.0,1211.7,57.93,971.5,1897.3,87.8,689.5
562.75,1009.1,196.84,80.76,177.17,1734.85,1210.8,58.07,973.9,1899.05,87.94,689.85
561.15,1006.4,196.44,80.51,176.74,1732.85,1208.4,57.83,971.15,1899.0,87.79,688.4
560.6,1005.95,196.24,80.35,176.55,1730.7,1209.3,57.77,969.0,1900.35,87.78,688.8
560.4,1005.25,196.6,80.3,176.3,1729.8,1209.05,57.73,966.45,1898.65,87.7,689.05
558.8,1003.8,196.03,80.01,175.84,1729.9,1210.0,57.55,964.55,1898.95,87.39,687.55
559.15,1003.25,196.35,80.07,175.9,1728.65,1210.45,57.54,960.35,1900.0,87.28,688.35
559.4,1004.4,196.52,80.14,176.21,1728.75,1211.2,57.69,963.55,1902.75,87.36,688.75
558.85,1002.5,196.1,79.88,175.82,1727.0,1210.4,57.49,961.2,1902.35,87.01,687.6
558.7,1003.85,196.09,79.7,175.83,1729.1,1210.5,57.72,961.4,1902.25,86.98,687.5
559.0,1005.55,195.8,79.55,175.9,1731.45,1210.55,57.65,961.85,1904.75,86.68,687.9
559.2,1005.65,195.73,79.5,175.83,1730.95,1211.95,57.73,959.85,1904.1,86.87,686.85
558.7,1005.55,195.46,79.48,175.91,1729.45,1212.25,57.69,958.7,1903.35,86.74,686.5
558.55,1005.8,195.23,79.31,175.11,1730.15,1212.75,57.67,954.75,1905.5,86.6,686.35
559.05,1005.1,195.4,79.31,175.1,1732.85,1211.45,57.75,957.2,1907.7,86.65,686.65
558.9,1004.5,195.3,79.27,174.93,1728.55,1210.2,57.71,956.75,1905.95,86.58,685.75
557.95,1004.3,194.99,79.25,174.76,1729.2,1209.75,57.65,955.55,1904.25,86.48,685.8
558.3,1004.65,195.23,79.37,174.65,1730.6,1210.6,57.7,958.25,1904.8,86.46,686.55
557.75,1004.65,195.19,79.3,174.5,1731.5,1210.4,57.63,959.8,1905.25,86.5,686.2
559.9,1003.45,195.1,79.29,174.34,1732.05,1211.5,57.65,960.1,1905.4,86.32,686.7
559.25,1002.95,195.31,79.36,174.5,1730.5,1212.2,57.61,960.2,1907.0,86.42,687.0
558.7,1002.1,195.18,79.3,174.3,1730.0,1212.15,57.56,959.75,1906.7,86.31,686.2
558.95,1001.55,194.85,79.37,174.18,1728.7,1211.7,57.56,958.35,1905.95,86.31,686.0
557.95,999.0,194.81,79.28,173.94,1728.0,1211.8,57.45,952.65,1905.25,86.14,684.35
557.2,997.55,195.05,79.16,173.83,1724.8,1210.4,57.45,950.7,1902.35,86.05,683.7
557.95,999.2,195.05,79.34,174.17,1726.85,1209.5,57.53,953.7,1905.05,86.18,684.65
557.4,997.85,194.75,79.27,174.08,1724.8,1209.3,57.49,954.05,1905.4,86.17,684.35
557.5,996.75,194.79,79.27,174.01,1724.45,1207.85,57.43,955.85,1904.05,86.2,684.2
557.2,995.9,194.65,79.25,174.01,1724.8,1207.0,57.43,956.0,1902.45,86.21,683.5
556.4,994.95,194.3,79.2,173.92,1725.0,1206.4,57.51,955.45,1899.45,86.15,683.3
557.3,995.75,194.64,79.25,174.04,1725.45,1206.5,57.65,957.5,1901.65,86.28,684.1
557.05,994.1,194.49,79.19,173.9,1723.95,1205.15,57.65,957.4,1899.9,86.29,683.9
556.55,994.5,194.4,79.2,173.94,1722.6,1207.6,57.59,957.55,1900.15,86.3,683.85
556.75,995.75,194.42,79.08,173.68,1723.2,1206.9,57.6,957.95,1900.25,86.21,683.5
556.85,996.4,194.36,79.14,173.7,1723.25,1205.5,57.61,954.0,1899.5,86.23,683.75
556.6,996.45,194.15,79.09,173.65,1724.6,1206.0,57.63,952.45,1899.85,86.18,683.75
556.35,995.85,194.15,79.14,173.65,1726.0,1205.65,57.62,953.95,1900.3,86.16,683.45
556.65,995.7,194.35,79.2,173.63,1725.0,1205.85,57.64,953.0,1901.05,86.21,683.9
556.35,995.6,194.07,79.14,173.51,1724.45,1205.95,57.62,953.05,1900.3,86.16,684.0
555.9,993.65,193.67,78.94,173.1,1723.0,1205.25,57.48,950.25,1898.55,85.91,682.45
555.35,993.0,193.49,78.93,173.12,1723.05,1205.3,57.44,949.0,1898.85,85.75,681.95
555.2,993.5,193.39,78.76,173.07,1722.7,1205.85,57.4,948.4,1897.8,85.65,681.5
555.0,994.35,193.43,78.84,173.25,1723.05,1205.7,57.35,948.7,1898.55,85.66,681.6
555.0,995.0,193.52,78.88,173.15,1723.0,1206.0,57.35,950.4,1897.9,85.66,681.65
555.45,995.15,193.64,78.88,173.15,1721.45,1205.9,57.36,949.8,1897.95,85.69,681.5
555.0,994.25,193.39,78.7,173.05,1721.5,1206.65,57.28,950.6,1896.4,85.51,680.85
555.5,994.9,193.36,78.79,173.15,1722.75,1205.7,57.27,952.0,1898.3,85.63,680.7
556.1,994.1,193.29,78.71,173.06,1721.65,1205.5,57.23,952.4,1896.25,85.55,681.0
555.7,994.8,193.39,78.71,173.22,1719.35,1206.2,57.3,952.0,1896.15,85.63,681.1
554.7,994.7,193.05,78.69,173.14,1720.3,1206.95,57.22,952.95,1897.45,85.64,680.25
555.2,995.7,193.35,78.77,173.36,1720.0,1206.65,57.35,953.65,1898.1,85.69,680.75
555.4,995.7,193.49,78.79,173.62,1720.25,1207.0,57.38,953.55,1899.55,85.76,681.15
555.3,995.9,193.49,78.77,173.72,1718.1,1206.95,57.36,955.5,1899.85,85.74,680.9
555.2,995.0,193.35,78.74,173.5,1718.0,1207.0,57.35,955.8,1899.95,85.7,680.2
555.25,995.0,193.35,78.79,173.54,1719.15,1206.05,57.35,956.75,1899.55,85.83,681.25
555.15,995.0,193.39,78.81,173.56,1719.45,1206.95,57.35,957.0,1900.0,85.82,681.65
555.25,995.0,193.23,78.78,173.67,1720.75,1207.45,57.3,956.8,1901.65,85.71,681.55
555.05,997.3,193.35,78.81,173.76,1720.75,1208.0,57.35,958.5,1903.1,85.79,681.85
555.65,997.8,193.72,78.95,174.02,1721.4,1208.4,57.45,960.0,1904.55,86.1,682.45
555.3,997.85,193.6,78.9,174.01,1721.2,1208.55,57.35,958.9,1903.0,85.91,682.0
555.5,998.9,193.76,78.99,174.23,1720.7,1208.55,57.4,958.75,1903.15,86.07,682.2
554.6,998.2,193.52,78.96,174.0,1719.5,1207.85,57.34,955.9,1900.1,85.88,681.6
555.1,997.75,193.45,78.98,173.91,1719.1,1208.45,57.29,954.95,1901.75,85.84,681.4
555.35,997.95,193.7,79.06,174.18,1719.2,1208.45,57.33,957.15,1900.3,86.06,681.9
554.75,997.8,194.06,79.1,173.95,1718.15,1208.55,57.35,955.9,1898.85,86.2,681.95
555.4,999.5,194.44,79.28,174.45,1718.1,1208.6,57.55,957.65,1899.25,86.4,682.95
