date,time,exchange,name,ltp,last_trade_qty,total_trade_amount,total_trade_qty
0,09:15:00.000000000,NSECM,AUBANK,506,191,4182090,8265
0,09:15:00.000000000,NSEFO,AUBANK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,AUBANK25MARFUT,508.5,1000,2545150,5000
0,09:15:00.000000000,NSECM,AXISBANK,1047.8,33,19189409.2,18314
0,09:15:00.000000000,NSEFO,AXISBANK25APRFUT,1051.3,625,657062.5,625
0,09:15:00.000000000,NSEFO,AXISBANK25MARFUT,1051.2,625,3284250,3125
0,09:15:00.000000000,NSECM,BANKBARODA,210,50,3235260,15406
0,09:15:00.000000000,NSEFO,BANKBARODA25APRFUT,211.48,2925,618579,2925
0,09:15:00.000000000,NSEFO,BANKBARODA25MARFUT,210.13,2925,1229260.5,5850
0,09:15:00.000000000,NSECM,BANKNIFTY,49433.55,0,0,0
0,09:15:00.000000000,NSEFO,BANKNIFTY25APRFUT,49770,30,1493100,30
0,09:15:00.000000000,NSEFO,BANKNIFTY25MARFUT,49496.6,30,13370057.1,270
0,09:15:00.000000000,NSECM,CANBK,84.02,1000,7760759.36,92368
0,09:15:00.000000000,NSEFO,CANBK25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,CANBK25MARFUT,84.25,13500,1137375,13500
0,09:15:00.000000000,NSECM,FEDERALBNK,181.8,750,4142676.6,22787
0,09:15:00.000000000,NSEFO,FEDERALBNK25APRFUT,181.95,5000,909750,5000
0,09:15:00.000000000,NSEFO,FEDERALBNK25MARFUT,181.19,5000,3617200,20000
0,09:15:00.000000000,NSECM,HDFCBANK,1735,7,393617715,226869
0,09:15:00.000000000,NSEFO,HDFCBANK25APRFUT,1751,550,963050,550
0,09:15:00.000000000,NSEFO,HDFCBANK25MARFUT,1745.05,550,16299387.5,9350
0,09:15:00.000000000,NSECM,ICICIBANK,1308.05,5,464590745.2,355831
0,09:15:00.000000000,NSEFO,ICICIBANK25APRFUT,1320.25,700,1848350,1400
0,09:15:00.000000000,NSEFO,ICICIBANK25MARFUT,1309.05,700,34849458,26600
0,09:15:00.000000000,NSECM,IDFCFIRSTB,54.7,200,4552407.5,83225
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,54.93,7500,411975,7500
0,09:15:00.000000000,NSECM,INDUSINDBK,684.45,25,45372367.62,66238
0,09:15:00.000000000,NSEFO,INDUSINDBK25APRFUT,682.6,500,341300,500
0,09:15:00.000000000,NSEFO,INDUSINDBK25MARFUT,685.4,500,342700,500
0,09:15:00.000000000,NSECM,KOTAKBANK,2039.25,1,27739917.75,13603
0,09:15:00.000000000,NSEFO,KOTAKBANK25APRFUT,2048,400,819200,400
0,09:15:00.000000000,NSEFO,KOTAKBANK25MARFUT,2035.9,400,1628720,800
0,09:15:00.000000000,NSECM,PNB,89.5,1,5757535,64330
0,09:15:00.000000000,NSEFO,PNB25APRFUT,89.88,8000,719040,8000
0,09:15:00.000000000,NSEFO,PNB25MARFUT,89.39,8000,715120,8000
0,09:15:00.000000000,NSECM,SBIN,739.6,1,23812161.6,32196
0,09:15:00.000000000,NSEFO,SBIN25APRFUT,746.5,750,559875,750
0,09:15:00.000000000,NSEFO,SBIN25MARFUT,742,750,5561700,7500
0,09:16:00.000000000,NSECM,AUBANK,509.6,34,23695631.5,46622
0,09:16:00.000000000,NSEFO,AUBANK25APRFUT,510.7,1000,6627400,13000
0,09:16:00.000000000,NSEFO,AUBANK25MARFUT,511.15,1000,139709860,274000
0,09:16:00.000000000,NSECM,AXISBANK,1046.2,1,175958749.2,168015
0,09:16:00.000000000,NSEFO,AXISBANK25APRFUT,1054.45,625,7249687.5,6875
0,09:16:00.000000000,NSEFO,AXISBANK25MARFUT,1047.65,625,121811400,116250
0,09:16:00.000000000,NSECM,BANKBARODA,210.27,44,38087356.23,181377
0,09:16:00.000000000,NSEFO,BANKBARODA25APRFUT,212.14,2925,7432425,35100
0,09:16:00.000000000,NSEFO,BANKBARODA25MARFUT,210.85,2925,48669016.5,231075
0,09:16:00.000000000,NSECM,BANKNIFTY,49414,0,0,0
0,09:16:00.000000000,NSEFO,BANKNIFTY25APRFUT,49800.05,30,179214840,3600
0,09:16:00.000000000,NSEFO,BANKNIFTY25MARFUT,49515,30,1444773353,29190
0,09:16:00.000000000,NSECM,CANBK,84.2,3,41515623.04,493294
0,09:16:00.000000000,NSEFO,CANBK25APRFUT,85,20250,5735475,67500
0,09:16:00.000000000,NSEFO,CANBK25MARFUT,84.46,6750,25051950,297000
0,09:16:00.000000000,NSECM,FEDERALBNK,181.08,1,66845188.5,369025
0,09:16:00.000000000,NSEFO,FEDERALBNK25APRFUT,181.95,5000,2729250,15000
0,09:16:00.000000000,NSEFO,FEDERALBNK25MARFUT,181.23,5000,88748800,490000
0,09:16:00.000000000,NSECM,HDFCBANK,1738.05,6,653234258.3,376196
0,09:16:00.000000000,NSEFO,HDFCBANK25APRFUT,1754.5,550,6753824,3850
0,09:16:00.000000000,NSEFO,HDFCBANK25MARFUT,1743.8,550,825695986.5,473550
0,09:16:00.000000000,NSECM,ICICIBANK,1305.5,275,925853433.1,709401
0,09:16:00.000000000,NSEFO,ICICIBANK25APRFUT,1315.3,700,23023875,17500
0,09:16:00.000000000,NSEFO,ICICIBANK25MARFUT,1308.25,700,552229209,422100
0,09:16:00.000000000,NSECM,IDFCFIRSTB,54.78,239,55113647.05,1008115
0,09:16:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,55.1,7500,6607200,120000
0,09:16:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,54.89,7500,20142675,367500
0,09:16:00.000000000,NSECM,INDUSINDBK,688.65,15,232887306.9,339046
0,09:16:00.000000000,NSEFO,INDUSINDBK25APRFUT,682.6,500,20478000,30000
0,09:16:00.000000000,NSEFO,INDUSINDBK25MARFUT,690,500,2755560,4000
0,09:16:00.000000000,NSECM,KOTAKBANK,2035.6,13,243492962,119521
0,09:16:00.000000000,NSEFO,KOTAKBANK25APRFUT,2049.95,400,6560096,3200
0,09:16:00.000000000,NSEFO,KOTAKBANK25MARFUT,2035.45,400,186597444,91600
0,09:16:00.000000000,NSECM,PNB,89.6,100,27045041.37,302213
0,09:16:00.000000000,NSEFO,PNB25APRFUT,90.2,8000,27372160,304000
0,09:16:00.000000000,NSEFO,PNB25MARFUT,89.65,8000,38685600,432000
0,09:16:00.000000000,NSECM,SBIN,741,17,146220361,197435
0,09:16:00.000000000,NSEFO,SBIN25APRFUT,746.5,1500,27430567.5,36750
0,09:16:00.000000000,NSEFO,SBIN25MARFUT,741.65,750,243641880,328500
0,09:17:00.000000000,NSECM,AUBANK,512.8,50,35908705.8,70506
0,09:17:00.000000000,NSEFO,AUBANK25APRFUT,512,1000,18918100,37000
0,09:17:00.000000000,NSEFO,AUBANK25MARFUT,513.4,1000,211520880,414000
0,09:17:00.000000000,NSECM,AXISBANK,1049.85,48,213207755.8,203561
0,09:17:00.000000000,NSEFO,AXISBANK25APRFUT,1057.1,625,18467750,17500
0,09:17:00.000000000,NSEFO,AXISBANK25MARFUT,1050.7,625,194635237.5,185625
0,09:17:00.000000000,NSECM,BANKBARODA,210.98,913,48783780.8,232160
0,09:17:00.000000000,NSEFO,BANKBARODA25APRFUT,212.5,8775,26699517,125775
0,09:17:00.000000000,NSEFO,BANKBARODA25MARFUT,211.4,2925,86955687,412425
0,09:17:00.000000000,NSECM,BANKNIFTY,49474.15,0,0,0
0,09:17:00.000000000,NSEFO,BANKNIFTY25APRFUT,49852.55,30,306300873,6150
0,09:17:00.000000000,NSEFO,BANKNIFTY25MARFUT,49555.35,30,2336535458,47190
0,09:17:00.000000000,NSECM,CANBK,84.71,1,98325867.15,1165689
0,09:17:00.000000000,NSEFO,CANBK25APRFUT,85.3,6750,12628440,148500
0,09:17:00.000000000,NSEFO,CANBK25MARFUT,84.66,6750,63296640,749250
0,09:17:00.000000000,NSECM,FEDERALBNK,181.33,26,72546046.25,400475
0,09:17:00.000000000,NSEFO,FEDERALBNK25APRFUT,182.35,5000,4556500,25000
0,09:17:00.000000000,NSEFO,FEDERALBNK25MARFUT,181.21,5000,123168400,680000
0,09:17:00.000000000,NSECM,HDFCBANK,1741,5,794641110.9,457537
0,09:17:00.000000000,NSEFO,HDFCBANK25APRFUT,1755,550,20256274.5,11550
0,09:17:00.000000000,NSEFO,HDFCBANK25MARFUT,1744.95,1100,1079842445,619300
0,09:17:00.000000000,NSECM,ICICIBANK,1305.95,118,1043303951,799338
0,09:17:00.000000000,NSEFO,ICICIBANK25APRFUT,1316.5,700,23945376,18200
0,09:17:00.000000000,NSEFO,ICICIBANK25MARFUT,1309.15,700,827987160,632800
0,09:17:00.000000000,NSECM,IDFCFIRSTB,54.75,239,78409740.22,1432403
0,09:17:00.000000000,NSEFO,IDFCFIRSTB25APRFUT,55.23,7500,24817500,450000
0,09:17:00.000000000,NSEFO,IDFCFIRSTB25MARFUT,55.02,7500,66303825,1207500
0,09:17:00.000000000,NSECM,INDUSINDBK,688.5,20,303666796.6,441935
0,09:17:00.000000000,NSEFO,INDUSINDBK25APRFUT,682.6,500,39249500,57500
0,09:17:00.000000000,NSEFO,INDUSINDBK25MARFUT,688.1,500,7576470,11000
0,09:17:00.000000000,NSECM,KOTAKBANK,2037.85,72,300427145.8,147467
